index,duration,item,network,network_type
796,1,sms,Vodafone,mobile
797,1,sms,Vodafone,mobile
798,1,sms,Vodafone,mobile
799,463,call,Three,mobile
800,2,call,voicemail,voicemail
801,93,call,voicemail,voicemail
802,192,call,Meteor,mobile
803,34,call,Tesco,mobile
804,34.429,data,data,data
805,76,call,landline,landline
806,355,call,Three,mobile
807,745,call,Vodafone,mobile
808,57,call,Vodafone,mobile
809,1325,call,Vodafone,mobile
810,768,call,Three,mobile
811,34.429,data,data,data
812,1,sms,Vodafone,mobile
813,1,sms,Vodafone,mobile
814,1,sms,Three,mobile
815,1,sms,Three,mobile
816,10528,call,landline,landline
817,34.429,data,data,data
818,34.429,data,data,data
819,34.429,data,data,data
820,34.429,data,data,data
821,34.429,data,data,data
822,34.429,data,data,data
823,34.429,data,data,data
824,34.429,data,data,data
825,1,sms,world,world
826,1,sms,Vodafone,mobile
827,34.429,data,data,data
828,1,sms,world,world
829,1,sms,world,world
